siteName,roughLocation,yearMonitored,zone,northing,easting,lat,long,elevation,description,nWinterFlights,witnerSpecies,firstSpring,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,lastFall,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,LDE,nMaxSpring,LDH,nMaxEmerging,detectorType
"Bear Flats, Peace River 2015",Fort St John,2015,10 V,611707,6239032,,,800,,4,"25K,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/12/2015,-,1/12/2015,6/10/2015,10/10/2015,16/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,6/10/2015,16,SM2BAT - plus (ZC model)
Muncho Lake Lodge 2015,Muncho Lake,2015,10 V,340750,6544388,,,822,,0,,15/05/2016,-,-,-,15/05/2016,15/05/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/05/2016,1081,No Fall Bats Recorded,-,SM2BAT - plus (ZC model)
Premiere Lake 2012,Skookumchuck,No Data Listed,11 U ,596620,5533860,,,891,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Bluff Lake 2015,Williams Lake,2015,10 U,381167,5734313,,,916,,3,"40K,",23/03/2016,-,20/04/2016,23/03/2016,27/04/2016,27/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28/10/2015,-,23/10/2015,-,1/10/2015,28/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25/04/2016,24,29/09/2015,157,SM2BAT - plus (ZC model)
Vanderhoof Butte 2014,"near Vanderhoof, Kenny Dam",2014,10 U ,381474,5938245,,,1100,rock outcrop,0,,19/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19/04/2015,-,-,-,-,-,-,18/10/2014,-,-,-,-,10/10/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18/10/2014,-,-,-,-,-,-,Insufficient Number Recordings,2,Insufficient Number Recordings,8,
Whiteswan 2012,Fairmont ,2012,11 U ,609188,5557290,50.15776,-115.47141,1145,,0,,4/05/2013,-,-,-,-,4/05/2013,-,4/05/2013,4/05/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/05/2013,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2/05/2013,551,No Fall Bats Recorded,-,
Jersey North 2015,Salmo,2015,11 U  ,483479,5438701,,,1275,,3,"30K,50K,",4/03/2016,-,-,-,-,6/04/2016,6/04/2016,4/03/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8/04/2016,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,10,No Fall Bats Recorded,-,
Jersey WDKO 2015,,2015,11 U  ,483479,5438701,,,,,85,"30K,35K,40K,45K,50K,",8/04/2016,-,-,8/04/2016,8/04/2016,9/04/2016,8/04/2016,9/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26/12/2015,-,-,26/11/2015,26/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/04/2016,173,Insufficient Number Recordings,3,
Jersey WDKO2 2015,,2015,11 U  ,483479,5438701,,,,,23,"30K,35K,45K,50K,",30/03/2016,-,-,31/03/2016,8/04/2016,30/03/2016,8/04/2016,9/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/04/2016,20,No Fall Bats Recorded,-,
Jersey South 2015,,2015,11 U  ,483479,5438701,,,,,7,"35K,40K,45K,50K,",6/04/2016,-,-,-,-,9/04/2016,8/04/2016,6/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,4,No Fall Bats Recorded,-,
