siteName,roughLocation,yearMonitored,zone,northing,easting,lat,long,elevation,description,nWinterFlights,witnerSpecies,firstSpring,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,lastFall,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,LDE,nMaxSpring,LDH,nMaxEmerging,detectorType
Mount Swansea 2012,,No Data Listed,,,,50.509,-115.9498,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Elko Broadwood 2012,Elko-Fernie,2012,,,,49.66705,-114.90642,,,0,,11/05/2013,-,-,-,-,14/05/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11/05/2013,-,-,13/05/2013,-,-,25/09/2012,-,-,-,-,25/09/2012,24/09/2012,-,12/09/2012,18/09/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/09/2012,18/09/2012,-,16/09/2012,23/09/2012,-,-,8/05/2013,244,18/09/2012,165,
Elko Broadwood 2013,,2013,,,,49.66705,-114.90642,,,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/10/2013,-,-,-,-,6/10/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,25/09/2013,266,
Radium Hot Springs 2014,near Radium,2014,11 U,565637,5608135,,,,"hot springs, rock crevices",2,"EPFU,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,No Fall Bats Recorded,-,
Nickel Plate Tire mine,Penticton,No Data Listed,10 U,715988,5472421,,,,mine,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Gilpin Park Grand Forks 2010,Grand Forks,2010,,,,49.01814,-118.33886,,,43,"LowF,",4/03/2011,-,-,-,-,-,-,-,7/03/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/03/2011,-,-,-,-,-,-,13/12/2010,-,-,-,-,-,-,-,13/12/2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/03/2011,15,11/12/2010,14,
Skaha Fortress 2012,Okanagan,2012,,,,49.43707,-119.56755,,,65,"40K,50K,HighF,bat,",25/04/2013,-,-,-,-,29/04/2013,-,29/04/2013,27/04/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/04/2013,25/04/2013,-,-,-,-,-,16/11/2012,-,-,-,-,16/11/2012,-,16/11/2012,6/10/2012,16/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16/10/2012,-,-,-,-,-,12/11/2012,25/04/2013,776,20/09/2012,139,
Skaha Cave Hill 2011,Penticton,2011,,,,49.44906,-119.56121,,,283,"40K,45K,50K,LowF,HighF,EPFULANO,ANPAEPFU,",15/03/2012,-,-,-,-,-,-,15/03/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16/03/2012,-,-,-,-,-,-,30/12/2011,-,-,-,-,30/12/2011,18/12/2011,29/12/2011,29/12/2011,30/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/12/2011,-,29/12/2011,-,-,-,-,8/03/2012,35,18/12/2011,63,
Skaha Cave Hill 2012,,2012,,,,49.44906,-119.56121,,,82,"40K,50K,LowF,HighF,EPFULANO,COTOMYTH,ANPAEPFU,",25/04/2013,-,-,-,-,27/04/2013,25/04/2013,27/04/2013,27/04/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27/04/2013,25/04/2013,27/04/2013,-,-,-,-,3/12/2012,-,-,-,-,25/11/2012,-,30/11/2012,3/12/2012,30/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/12/2012,30/11/2012,23/11/2012,-,-,-,21/09/2012,24/04/2013,1016,19/09/2012,237,
Vaseux Eagle Bluff 2014,Oliver,2014,,,,49.26529,-119.51172,,,162,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,18/10/2014,90,
White Lake 2011,Oliver,2011,,,,49.29944,-119.6223,,,215,"40K,50K,LowF,HighF,EPFULANO,ANPAEPFU,bat,",30/04/2012,-,-,-,-,2/05/2012,-,2/05/2012,30/04/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/04/2012,-,-,-,-,-,-,29/12/2011,-,-,-,-,29/12/2011,-,-,28/12/2011,27/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28/12/2011,-,-,-,-,-,21/12/2011,21/04/2012,133,7/12/2011,23,
White Lake 2012,,2012,,,,49.29944,-119.6223,,,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21/10/2012,-,-,-,-,-,-,21/10/2012,-,18/10/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,4,
Willowbrook Boar Okanagan 2011,Willowbrook,2011,,,,49.28337,-119.6163,,,177,"40K,50K,LowF,HighF,EPFULANO,COTOMYTH,ANPAEPFU,",10/04/2012,-,-,-,-,27/04/2013,25/04/2013,27/04/2013,27/04/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27/04/2013,25/04/2013,27/04/2013,-,-,-,10/04/2012,3/12/2012,-,-,-,-,25/11/2012,-,30/11/2012,3/12/2012,30/11/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/12/2012,30/11/2012,23/11/2012,-,-,-,21/09/2012,24/04/2013,1016,19/09/2012,237,
Oxbow Park 2011,Grand Forks,2011,,,,49.01531,-118.34883,,,734,"45K,50K,LowF,HighF,EPFULANO,ANPAEPFU,",19/04/2012,-,-,-,-,15/05/2012,-,15/05/2012,15/05/2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15/05/2012,19/04/2012,15/05/2012,-,-,-,-,17/12/2011,-,-,-,-,30/10/2011,17/12/2011,17/12/2011,17/12/2011,17/12/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17/12/2011,-,4/12/2011,-,-,-,-,15/05/2012,342,30/10/2011,714,
Lillooet Rosebank Mine 2014,near Lillooet,2014,10U,590467,5597264,,,,mine,5,"45K,",9/04/2015,-,-,-,-,29/04/2015,9/04/2015,19/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26/11/2014,-,-,-,-,-,26/11/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18/04/2015,13,Insufficient Number Recordings,4,
Lillooet Wanderers 2014,near Lillooet,2014,10U,580501,5608949,,,,pond near rocky outcrops,475,"40K,45K,50K,LowF,EPFULANO,ANPAEPFU,",13/03/2015,-,-,-,-,23/04/2015,29/04/2015,29/04/2015,29/04/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27/04/2015,25/04/2015,28/04/2015,-,13/03/2015,-,28/04/2015,22/12/2014,-,-,-,-,17/11/2014,7/11/2014,22/12/2014,10/12/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26/11/2014,-,-,-,-,-,-,27/03/2015,1404,18/10/2014,193,
Vanderhoof Nechako 2014,Vanderhoof,2014,,,,53.6855,-124.84071,,,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/10/2014,-,-,-,-,11/10/2014,18/10/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/10/2014,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,7,
Millers Cave M Davis2011,Duncan,2011,,,,48.7427,-123.9499,,,2,"45K,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21/11/2011,-,-,-,-,-,21/11/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,Insufficient Number Recordings,2,
Texada Island 2015,Texada Island,2015,10 U ,387040,5513180,,,,,19,"25K,40K,45K,",5/03/2016,-,5/03/2016,-,-,5/03/2016,8/03/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11/12/2015,-,8/12/2015,5/10/2015,17/10/2015,13/11/2015,11/12/2015,25/09/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,4,8/10/2015,66,Anabat SD1
Euclataws Cave 2014,"Horne Lake Prov Park, north Vancouver Island",No Data Listed,,,,,,,cave,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Forgotten Mine 2012,north of Meadow Creek (Duncan Reservoir),2012,11 U,504514,5597390,,,1525,,0,,15/05/2013,15/05/2013,-,-,-,15/05/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Insufficient Number Recordings,7,No Fall Bats Recorded,-,
Skaha Cave K Stafford 2013,Penticton,2013,,,,,,,,0,,21/04/2014,-,-,-,-,15/05/2014,-,15/05/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21/04/2014,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/04/2014,34,No Fall Bats Recorded,-,
Sunshine Coast 2014,Sunshine Coast,2014,10 U,444918,5512389,,,,? Rocky crevices?,10,"45K,EPFULANO,",12/03/2015,-,-,-,-,1/04/2015,8/04/2015,8/04/2015,12/03/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/03/2015,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/03/2015,276,No Fall Bats Recorded,-,
CVWMA CC3 Dike 6 2011,Creston/CVWMA,2011,,,,,,,,2,"40K,50K,",4/05/2013,-,-,-,-,4/05/2013,-,4/05/2013,4/05/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4/05/2013,-,-,-,-,-,-,4/11/2011,-,-,-,-,4/11/2011,-,4/11/2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2/05/2013,551,Insufficient Number Recordings,2,
Charlie Lake 2015,,2015,,,,,,,,1,"COTO,",19/04/2016,-,8/05/2016,5/05/2016,8/05/2016,8/05/2016,25/04/2016,-,-,-,19/04/2016,26/04/2016,26/04/2016,-,-,-,-,20/04/2016,-,-,-,-,-,-,21/04/2016,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/05/2016,972,No Fall Bats Recorded,-,
Bergeron Cliffs 2015,,2015,,,,,,,,0,,No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13/09/2015,-,12/09/2015,-,12/09/2015,-,-,-,-,13/09/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Spring Bats Recorded,-,24/08/2015,1091,
Vaseux Lakeshore 2013,,2013,,,,,,,,681,"LowF,EPFULANO,ANPAEPFU,",14/04/2014,-,-,-,-,-,-,-,14/04/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/04/2014,-,-,-,-,-,-,30/12/2013,-,-,-,-,-,-,-,22/10/2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/12/2013,-,7/11/2013,-,-,-,11/12/2013,8/04/2014,560,4/10/2013,915,
