Location,SiteID,Water_Type,Ruggedness,Trees,YR,Season,SampMonth,Month3,Week,Species,TotalPassCount,NightCount,AvgPasses_perNight
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,5,May,22,Lano,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,23,BAT,35,7,5
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,23,Epfu,2,7,0.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,23,Lano,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,24,BAT,85,7,12.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,24,Epfu,6,7,0.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,24,Laci,9,7,1.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,24,Lano,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,25,BAT,231,7,33
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,25,Epfu,44,7,6.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,25,Laci,7,7,1
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,25,Lano,6,7,0.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,25,Myci,3,7,0.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,25,Myev,3,7,0.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,26,BAT,268,7,38.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,26,Epfu,37,7,5.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,26,Laci,4,7,0.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,6,Jun,26,Lano,14,7,2
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,7,Jul,27,BAT,81,7,11.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,7,Jul,27,Epfu,5,7,0.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,7,Jul,27,Lano,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,7,Jul,27,Myev,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,7,Jul,28,BAT,59,7,8.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,7,Jul,28,Epfu,15,7,2.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2013,Active,7,Jul,28,Laci,1,7,0.142857
